trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
45	9	5	baby	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
46	10	1	rumoer	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
46	10	1	rumoer	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
46	10	1	rumoer	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
47	10	2	meisje	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
47	10	2	meisje	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
47	10	2	meisje	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
48	10	3	toxisch	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
48	10	3	toxisch	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
48	10	3	toxisch	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
49	10	4	eten	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
49	10	4	eten	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
49	10	4	eten	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
50	10	5	huis	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
50	10	5	huis	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
50	10	5	huis	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0000010000011010	0000000000000000	0	0	4	0
51	11	1	gek	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
51	11	1	gek	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
51	11	1	gek	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
52	11	2	angst	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
