trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
26	6	1	scheel	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
26	6	1	scheel	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	takel	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	takel	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
27	6	2	takel	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	stem	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	stem	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
28	6	3	stem	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	geld	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	geld	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
29	6	4	geld	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	gauw	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	gauw	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
30	6	5	gauw	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	1111000000000000	0000000000000000	0	0	4	0
31	7	1	vies	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
31	7	1	vies	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
31	7	1	vies	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
32	7	2	pest	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
32	7	2	pest	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
32	7	2	pest	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
33	7	3	bliksem	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
33	7	3	bliksem	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
33	7	3	bliksem	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
34	7	4	gevaarlijk	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
34	7	4	gevaarlijk	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
34	7	4	gevaarlijk	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
35	7	5	kwaad	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
35	7	5	kwaad	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
35	7	5	kwaad	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
36	8	1	lang	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
36	8	1	lang	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
36	8	1	lang	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
37	8	2	verstaan	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
37	8	2	verstaan	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
37	8	2	verstaan	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	lanceren	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	lanceren	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	lanceren	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	krabben	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	krabben	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	krabben	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	slapen	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	slapen	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	slapen	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
41	9	1	schaap	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
41	9	1	schaap	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
41	9	1	schaap	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
42	9	2	hout	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
42	9	2	hout	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
42	9	2	hout	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
43	9	3	non	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
43	9	3	non	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
43	9	3	non	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
44	9	4	antwoord	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
44	9	4	antwoord	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
44	9	4	antwoord	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
45	9	5	meisje	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
45	9	5	meisje	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
45	9	5	meisje	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001010000001	0000000000000000	0	0	4	0
46	10	1	worst	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
46	10	1	worst	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
46	10	1	worst	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
47	10	2	opstaan	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
47	10	2	opstaan	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
47	10	2	opstaan	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
48	10	3	dok	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
48	10	3	dok	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
48	10	3	dok	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
49	10	4	beer	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
49	10	4	beer	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
49	10	4	beer	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
50	10	5	kapot	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
50	10	5	kapot	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
50	10	5	kapot	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0001000100010001	0000000000000000	0	0	4	0
51	11	1	lekker	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
51	11	1	lekker	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
51	11	1	lekker	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
52	11	2	wenen	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
52	11	2	wenen	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
52	11	2	wenen	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
53	11	3	heel	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
53	11	3	heel	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
53	11	3	heel	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
54	11	4	zij	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
54	11	4	zij	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
54	11	4	zij	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
55	11	5	lawaai	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
55	11	5	lawaai	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
55	11	5	lawaai	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100001001000001	0000000000000000	0	0	4	0
56	12	1	drinken	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
56	12	1	drinken	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
56	12	1	drinken	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
57	12	2	pijl	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
57	12	2	pijl	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
57	12	2	pijl	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
58	12	3	droogte	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
58	12	3	droogte	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
58	12	3	droogte	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
59	12	4	herfst	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
59	12	4	herfst	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
59	12	4	herfst	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
60	12	5	enig	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
60	12	5	enig	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
60	12	5	enig	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010100000100100	0000000000000000	0	0	4	0
61	13	1	wieg	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
61	13	1	wieg	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
61	13	1	wieg	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
62	13	2	pijn	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
62	13	2	pijn	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
62	13	2	pijn	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
63	13	3	menu	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
